Chromosome,Bin,geneDensity
BhD1,1-25000,0.70872
BhD1,25001-50000,0.73412
BhD1,50001-75000,0.47824
BhD1,75001-100000,0.66752
BhD1,100001-125000,0.50924
BhD1,125001-150000,0.58344
BhD1,150001-175000,0.5816
BhD1,175001-200000,0.6548
BhD1,200001-225000,0.75656
BhD1,225001-250000,0.3762
BhD1,250001-275000,0.43436
BhD1,275001-300000,0.73356
BhD1,300001-325000,0.57676
BhD1,325001-350000,0.62104
BhD1,350001-375000,0.52208
BhD1,375001-400000,0.36816
BhD1,400001-425000,0.78688
BhD1,425001-450000,0.63572
BhD1,450001-475000,0.43896
BhD1,475001-500000,0.4696
BhD1,500001-525000,0.40532
BhD1,525001-550000,0.29148
BhD1,550001-575000,0.76556
BhD1,575001-600000,0.76224
BhD1,600001-625000,0.7614
BhD1,625001-650000,0.35656
BhD1,650001-675000,0.59064
BhD1,675001-700000,0.48472
BhD1,700001-725000,0.54256
BhD1,725001-750000,0.80776
BhD1,750001-775000,0.54932
BhD1,775001-800000,0.52008
BhD1,800001-825000,0.65424
BhD1,825001-850000,0.76416
BhD1,850001-875000,0.41956
BhD1,875001-900000,0.80444
BhD1,900001-925000,0.65092
BhD1,925001-950000,0.86096
BhD1,950001-975000,0.67648
BhD1,975001-1000000,0.34188
BhD1,1000001-1025000,0.53448
BhD1,1025001-1050000,0.68072
BhD1,1050001-1075000,0.55024
BhD1,1075001-1100000,0.51724
BhD1,1100001-1125000,0.5802
BhD1,1125001-1150000,0.41224
BhD1,1150001-1175000,0.3994
BhD1,1175001-1200000,0.26608
BhD1,1200001-1225000,0.406
BhD1,1225001-1250000,0.60712
BhD1,1250001-1275000,0.57992
BhD1,1275001-1300000,0.61436
BhD1,1300001-1325000,0.75424
BhD1,1325001-1350000,0.75972
BhD1,1350001-1375000,0.91048
BhD1,1375001-1400000,0.2596
BhD1,1400001-1425000,0.74824
BhD1,1425001-1450000,0.42
BhD1,1450001-1475000,0.7126
BhD1,1475001-1500000,0.75896
BhD1,1500001-1525000,0.46164
BhD1,1525001-1550000,0.4994
BhD1,1550001-1575000,0.75464
BhD1,1575001-1600000,0.69492
BhD1,1600001-1625000,0.66732
BhD1,1625001-1650000,0.4288
BhD1,1650001-1675000,0.72092
BhD1,1675001-1700000,0.54984
BhD1,1700001-1725000,0.44056
BhD1,1725001-1750000,0.19112
BhD1,1750001-1775000,0.03436
BhD1,1775001-1800000,0.66312
BhD1,1800001-1825000,0.48536
BhD1,1825001-1850000,0.39944
BhD1,1850001-1875000,0.76156
BhD1,1875001-1900000,0.56684
BhD1,1900001-1925000,0.68312
BhD1,1925001-1950000,0.38336
BhD1,1950001-1975000,0.68412
BhD1,1975001-2000000,0.5812
BhD1,2000001-2025000,0.54452
BhD1,2025001-2050000,0.21704
BhD1,2050001-2075000,0.64084
BhD1,2075001-2100000,0.35632
BhD1,2100001-2125000,0.65468
BhD1,2125001-2150000,0.44732
BhD1,2150001-2175000,0.35136
BhD1,2175001-2200000,0.25308
BhD1,2200001-2225000,0.42752
BhD1,2225001-2250000,0.67208
BhD1,2250001-2275000,0.3654
BhD1,2275001-2300000,0.09428
BhD1,2300001-2325000,0.21556
BhD1,2325001-2350000,0.77976
BhD1,2350001-2375000,0.57752
BhD1,2375001-2400000,0.6962
BhD1,2400001-2425000,0.56244
BhD1,2425001-2450000,0.7036
BhD1,2450001-2475000,0.6544
BhD1,2475001-2500000,0.43396
BhD1,2500001-2525000,0.61216
BhD1,2525001-2550000,0.80012
BhD1,2550001-2575000,0.43428
BhD1,2575001-2600000,0.49292
BhD1,2600001-2625000,0.39404
BhD1,2625001-2650000,0.58136
BhD1,2650001-2675000,0.41304
BhD1,2675001-2700000,0.54984
BhD1,2700001-2725000,0.41852
BhD1,2725001-2750000,0.56168
BhD1,2750001-2775000,0.58484
BhD1,2775001-2800000,0.52436
BhD1,2800001-2825000,0.80864
BhD1,2825001-2850000,0.7278
BhD1,2850001-2875000,0.62268
BhD1,2875001-2900000,0.5642
BhD1,2900001-2925000,0.67728
BhD1,2925001-2950000,0.68456
BhD1,2950001-2975000,0.5744
BhD1,2975001-3000000,0.64232
BhD1,3000001-3025000,0.82548
BhD1,3025001-3050000,0.58164
BhD1,3050001-3075000,0.70084
BhD1,3075001-3100000,0.43124
BhD1,3100001-3125000,0.32928
BhD1,3125001-3150000,0.31816
BhD1,3150001-3175000,0.51444
BhD1,3175001-3200000,0.38916
BhD1,3200001-3225000,0.493
BhD1,3225001-3250000,0.3476
BhD1,3250001-3275000,0.62572
BhD1,3275001-3300000,0.37388
BhD1,3300001-3325000,0.34144
BhD1,3325001-3350000,0.50764
BhD1,3350001-3375000,0.33108
BhD1,3375001-3400000,0.6676
BhD1,3400001-3425000,0.57096
BhD1,3425001-3450000,0.5364
BhD1,3450001-3475000,0.60052
BhD1,3475001-3500000,0.16396
BhD1,3500001-3525000,0.47104
BhD1,3525001-3550000,0.60684
BhD1,3550001-3575000,0.33256
BhD1,3575001-3600000,0.65024
BhD1,3600001-3625000,0.31052
BhD1,3625001-3650000,0.62868
BhD1,3650001-3675000,0.85424
BhD1,3675001-3700000,0.43448
BhD1,3700001-3725000,0.69124
BhD1,3725001-3750000,0.50588
BhD1,3750001-3775000,0.21768
BhD1,3775001-3800000,0.73624
BhD1,3800001-3825000,0.67
